Qualifier,Trade.type,Market,Abbreviation
BCXT[GV4_TEXT],Buy Back Cross Report,ASX,BuyBackCrossReport
BKXT[GV4_TEXT],Buy Back Cross Report,ASX,BuyBackCrossReport
CPXT[GV4_TEXT],Centre Point Preference,ASX,CentrePointPreference
CTXT[GV4_TEXT],Centre Point Unknown,ASX,CentrePointUnknown
CXTP[GV4_TEXT],Centre Point,ASX,CentrePoint
CXOM[GV4_TEXT],Centre Point,ASX,CentrePoint
CXTU[GV4_TEXT],Centre Point,ASX,CentrePoint
CX[GV4_TEXT],Centre Point,ASX,CentrePoint
CMEQ[GV4_TEXT],Combinations,ASX,Combinations
CMXT[GV4_TEXT],Combinations,ASX,Combinations
CM[GV4_TEXT],Combinations,ASX,Combinations
EQTM[GV4_TEXT],Combinations,ASX,Combinations
EQXT[GV4_TEXT],Combinations,ASX,Combinations
DRXT[GV4_TEXT],Direct Crossing Reporting,ASX,DirectCrossingReporting
DR[GV4_TEXT],Direct Reporting,ASX,DirectReporting
XT[GV4_TEXT],Lit,ASX,Lit
[GV4_TEXT],Lit,ASX or CHIX,Lit
,Lit,ASX or CHIX,Lit
NXXT[GV4_TEXT],NBBO,ASX,NBBO
MOXT[GV4_TEXT],Open Auction,ASX,OpenAuction
MO[GV4_TEXT],Open Auction,ASX,OpenAuction
OSXT[GV4_TEXT],Overseas,ASX,Overseas
SXXT[GV4_TEXT],Portfolio Special,ASX,PortfolioSpecial
SPXT[GV4_TEXT],Portfolio Special,ASX,PortfolioSpecial
PXT[GV4_TEXT],Priority Crossed Trade,ASX,PriorityCrossedTrade
P1XT[GV4_TEXT],Put Through,ASX,PutThrough
P2XT[GV4_TEXT],Put Through,ASX,PutThrough
TMXT[GV4_TEXT],Tailor Made Combo Cross Report,ASX,TailorMadeComboCrossReport
TM[GV4_TEXT],Tailor Made Combo Report,ASX,TailorMadeComboReport
B[GV4_TEXT],Block Trade,CHIX,BlockTrade
B[OFFBK_CD_N],Block Trade,CHIX,BlockTrade
F[GV4_TEXT],ETF,CHIX,ETF
F[OFFBK_CD_N],ETF,CHIX,ETF
IIBB[GV4_TEXT],Hidden,CHIX,Hidden
IIB[GV4_TEXT],Hidden,CHIX,Hidden
S[GV4_TEXT],NBBO,CHIX,NBBO
E[GV4_TEXT],Others,CHIX,Others
E[OFFBK_CD_N],Others,CHIX,Others
L[GV4_TEXT],Others,CHIX,Others
L[OFFBK_CD_N],Others,CHIX,Others
M[GV4_TEXT],Others,CHIX,Others
T[OFFBK_CD_N],Others,CHIX,Others
t[OFFBK_CD_N],Others,CHIX,Others
P[GV4_TEXT],Portfolio Special,CHIX,PortfolioSpecial
P[OFFBK_CD_N],Portfolio Special,CHIX,PortfolioSpecial
p[GV4_TEXT],Portfolio Special,CHIX,PortfolioSpecial
p[OFFBK_CD_N],Portfolio Special,CHIX,PortfolioSpecial
ACXT[GV4_TEXT],Close Auction,ASX,CloseAuction
AC[GV4_TEXT],Close Auction,ASX,CloseAuction
S1XT[GV4_TEXT],Block Trade 1,ASX,BlockTrade1
S2XT[GV4_TEXT],Block Trade 2,ASX,BlockTrade2
S3XT[GV4_TEXT],Block Trade 3,ASX,BlockTrade3
IA[GV4_TEXT],Others,ASX,Others
IAXT[GV4_TEXT],Others,ASX,Others
ECXT[GV4_TEXT],Call Option,ASX,CallOption
EC[GV4_TEXT],Call Option,ASX,CallOption
L1[GV4_TEXT],Late Trade,ASX,LateTrade
L1XT[GV4_TEXT],Late Trade,ASX,LateTrade
L2[GV4_TEXT],Late Trade,ASX,LateTrade
L2XT[GV4_TEXT],Late Trade,ASX,LateTrade
L3[GV4_TEXT],Late Trade,ASX,LateTrade
L3XT[GV4_TEXT],Late Trade,ASX,LateTrade
L4[GV4_TEXT],Late Trade,ASX,LateTrade
L4XT[GV4_TEXT],Late Trade,ASX,LateTrade
L5[GV4_TEXT],Late Trade,ASX,LateTrade
L5XT[GV4_TEXT],Late Trade,ASX,LateTrade
LTXT[GV4_TEXT],Late Trade,ASX,LateTrade
LT[GV4_TEXT],Late Trade,ASX,LateTrade
IBXT[GV4_TEXT],Others,ASX,Others
EPXT[GV4_TEXT],Put Option,ASX,PutOption
EPXT[PD_SALCOND],Put Option,ASX,PutOption
EP[GV4_TEXT],Put Option,ASX,PutOption
EP[PD_SALCOND],Put Option,ASX,PutOption
ETXT[GV4_TEXT],ETF Special Crossing,ASX,ETFSpecialCrossing
MOCB[GV4_TEXT],Market on Close ,CHIX,MarketOnClose 
MOC[GV4_TEXT],Market on Close ,CHIX,MarketOnClose 
[PRC_QL_CD];   [PRC_QL2];[GV4_TEXT],Others,ASX,Others
S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND],NBBO,CHIX,NBBO
[ACT_FLAG1];MO[GV4_TEXT],Open Auction,ASX,OpenAuction
[ACT_FLAG1];MOXT[GV4_TEXT],Open Auction,ASX,OpenAuction
S[ACT_FLAG1];[GV4_TEXT],Lit,ASX or CHIX,Lit
B[ACT_FLAG1];[GV4_TEXT],Lit,ASX or CHIX,Lit
[ACT_FLAG1];CX[GV4_TEXT],Centre Point,ASX,CentrePoint
S[ACT_FLAG1];XT[GV4_TEXT],Lit,ASX,Lit
B[ACT_FLAG1];XT[GV4_TEXT],Lit,ASX,Lit
[ACT_FLAG1];CPXT[GV4_TEXT],Centre Point Preference,ASX,CentrePointPreference
[ACT_FLAG1];NXXT[GV4_TEXT],NBBO,ASX,NBBO
[ACT_FLAG1];AC[GV4_TEXT],Close Auction,ASX,CloseAuction
[ACT_FLAG1];ACXT[GV4_TEXT],Close Auction,ASX,CloseAuction
[GV4_TEXT];[TRD_IND_1];C[LSTSALCOND],Lit,ASX or CHIX,Lit
IIB[GV4_TEXT];HMP[TRD_IND_1];CXAP[LSTSALCOND];N[CONDCODE_1],Hidden,CHIX,Hidden
 FT[GV4_TEXT];SWT[IRGCOND];X[GV3_TEXT];NBL[PRC_QL2];N [TRD_STATUS],,PSE or DEX or THM,TRDUnknown1
 FTI[GV4_TEXT];1325[IRGCOND];X[GV3_TEXT];NBL[PRC_QL2];N [TRD_STATUS],,PSE or DEX or THM or BAT,TRDUnknown1
  TI[GV4_TEXT];ODT[IRGCOND];[GV3_TEXT];NBL[PRC_QL2];N [TRD_STATUS],,PSE or DEX or THM or ADF or BAT,TRDUnknown1
  T[GV4_TEXT];132[IRGCOND];[GV3_TEXT];NBL[PRC_QL2];N [TRD_STATUS],,PSE or ADF or THM or DEX or BAT,TRDUnknown1
   I[GV4_TEXT];ODD[IRGCOND];[GV3_TEXT];NBL[PRC_QL2];N [TRD_STATUS],,BAT,TRDUnknown1
[LSTSALCOND];[GV2_TEXT];   [PRC_QL2];N [TRD_STATUS],,PSE or ADF,TRDUnknown1
   I[GV4_TEXT];ODD[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,PSE or BAT or DEX or BTY or NYS or ADF or BOS or IEX or THM or DEA or XPH or CIN or ASE,TRDUnknown1
[LSTSALCOND];[GV2_TEXT];N [TRD_STATUS],,PSE or NYS or ADF or DEA or BAT or THM or IEX or BTY or BOS or DEX or CIN or XPH or ASE or MID,TRDUnknown1
 F[LSTSALCOND];X[GV2_TEXT];N [TRD_STATUS],,PSE or ASE or NYS or THM or BAT or DEX or DEA or BOS or XPH or BTY or CIN or MID or IEX or ADF,TRDUnknown1
 F I[GV4_TEXT];ODS[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,PSE or BAT or DEX or NYS or THM or DEA or BOS or CIN or XPH or BTY or ASE,TRDUnknown1
  TI[GV4_TEXT];ODT[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,THM or PSE or ADF,TRDUnknown1
 FTI[GV4_TEXT];1325[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,THM or DEX or PSE,TRDUnknown1
 O[LSTSALCOND];X[GV2_TEXT];Block Trade[USER];N [TRD_STATUS],,NYS,TRDUnknown1
 4 I[GV4_TEXT];2315[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown1
 4 B[GV4_TEXT];DAB[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown1
  ZI[GV4_TEXT];955[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown1
 4 P[GV4_TEXT];2345[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown1
  Z[GV4_TEXT];142[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown1
 7 V[GV4_TEXT];CON[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown1
[LSTSALCOND];X[GV2_TEXT];N [TRD_STATUS],,PSE or ADF or BAT or NYS,TRDUnknown1
C  I[GV4_TEXT];4235[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown2
   I[GV4_TEXT];ODD[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF or DEX or NYS,TRDUnknown2
 7[GV4_TEXT];CON[IRGCOND];X[GV3_TEXT];Block Trade[USER];N [TRD_STATUS],,MID,TRDUnknown2
[LSTSALCOND];[GV2_TEXT];Block Trade[USER];N [TRD_STATUS],,ADF,TRDUnknown2
 7 I[GV4_TEXT];COD[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown2
N  I[GV4_TEXT];7975[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown2
   I[GV4_TEXT];ODD[IRGCOND];[GV3_TEXT];   [PRC_QL2];N [TRD_STATUS],,ADF,TRDUnknown2
  TI[GV4_TEXT];ODT[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,DEX or BAT,TRDUnknown2
 6[LSTSALCOND];X[GV2_TEXT];Block Trade[USER];N [TRD_STATUS],,NYS,TRDUnknown2
  T[GV4_TEXT];132[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,ADF or THM or PSE,TRDUnknown2
  TP[GV4_TEXT];775[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown2
  T[GV4_TEXT];132[IRGCOND];[GV3_TEXT];Block Trade[USER];N [TRD_STATUS],,ADF,TRDUnknown2
 FT[GV4_TEXT];SWT[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,THM or PSE or DEX,TRDUnknown2
  TB[GV4_TEXT];705[IRGCOND];[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown2
N T[GV4_TEXT];8125[IRGCOND];X[GV3_TEXT];N [TRD_STATUS],,ADF,TRDUnknown2
 9[LSTSALCOND];X[GV2_TEXT];N [TRD_STATUS],,NYS,TRDUnknown2
  TB[GV4_TEXT];705[IRGCOND];[GV3_TEXT];Block Trade[USER];N [TRD_STATUS],,ADF,TRDUnknown2
@FTI[GV4_TEXT];   [IRGCOND];   [PRC_QL2];C[NASDSTATUS];X[GV3_TEXT],,NASDAQ,NASDAQUnknown
@FT[GV4_TEXT];SWT[IRGCOND];   [PRC_QL2];C[NASDSTATUS];X[GV3_TEXT],,NASDAQ,NASDAQUnknown
@F I[GV4_TEXT];   [IRGCOND];   [PRC_QL2]; [NASDSTATUS];X[GV3_TEXT],,NASDAQ,NASDAQUnknown
@[LSTSALCOND];   [PRC_QL2]; [NASDSTATUS];[GV2_TEXT],,NASDAQ,NASDAQUnknown
@F[LSTSALCOND];MSW[PRC_QL2]; [NASDSTATUS];X[GV2_TEXT],,NASDAQ,NASDAQUnknown2
@  I[GV4_TEXT];ODD[IRGCOND];MSW[PRC_QL2]; [NASDSTATUS];[GV3_TEXT],,NASDAQ,NASDAQUnknown2
@F I[GV4_TEXT];   [IRGCOND];MSW[PRC_QL2]; [NASDSTATUS];X[GV3_TEXT],,NASDAQ,NASDAQUnknown2
@  I[GV4_TEXT];ODD[IRGCOND];   [PRC_QL2]; [NASDSTATUS];[GV3_TEXT],,NASDAQ,NASDAQUnknown2
SWT[IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@FT[GV4_TEXT],,NASDAQ,NASDAQUnknown3
ODT[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@ TI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@FTI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
132[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2];C[NASDSTATUS];@ T[GV4_TEXT],,NASDAQ,NASDAQUnknown2
SWT[IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@FT[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@O X[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
302[IRGCOND];[GV3_FLAG];[GV3_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@  Q[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F[LSTSALCOND],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODD[IRGCOND];[GV3_FLAG];[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@  I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];[GV2_TEXT];   [PRC_QL2]; [NASDSTATUS];@[LSTSALCOND],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@F I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODD[IRGCOND];[GV3_FLAG];[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@  I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
324[IRGCOND];[GV3_FLAG];X[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];[GV2_TEXT];   [PRC_QL2]; [NASDSTATUS];@[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];AGX[PRC_QL2];C[NASDSTATUS];@6 X[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];[GV2_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@  M[LSTSALCOND],,NASDAQ,NASDAQUnknown2
ODT[IRGCOND];[GV3_FLAG];[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@ TI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
132[IRGCOND];[GV3_FLAG];[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@ T[GV4_TEXT],,NASDAQ,NASDAQUnknown2
SWT[IRGCOND];[GV3_FLAG];X[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@FT[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];CLS[PRC_QL2];C[NASDSTATUS];@FTI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@FTI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
132[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@ T[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@F I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
324[IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@F[GV4_TEXT],,NASDAQ,NASDAQUnknown2
 32[IRGCOND];[GV3_FLAG];[GV3_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODD[IRGCOND];[GV3_FLAG];[GV3_TEXT];AGX[PRC_QL2]; [NASDSTATUS];@  I[GV4_TEXT],,NASDAQ,NASDAQUnknown2
ODT[IRGCOND];[GV3_FLAG];[GV3_TEXT];NBL[PRC_QL2]; [NASDSTATUS];@ TI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];MSW[PRC_QL2];C[NASDSTATUS];@F[LSTSALCOND],,NASDAQ,NASDAQUnknown2
141[IRGCOND];[GV3_FLAG];[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@ Z[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@ ZI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
1525[IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@FZ[GV4_TEXT],,NASDAQ,NASDAQUnknown2
   [IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@FZI[GV4_TEXT],,NASDAQ,NASDAQUnknown2
1525[IRGCOND];[GV3_FLAG];X[GV3_TEXT];   [PRC_QL2]; [NASDSTATUS];@FZ[GV4_TEXT];Block Trade[USER],,NASDAQ,NASDAQUnknown2
[GV2_FLAG];X[GV2_TEXT];MSW[PRC_QL2]; [NASDSTATUS];@F[LSTSALCOND];Block Trade[USER],,NASDAQ,NASDAQUnknown2
U[ACT_FLAG1],,NA,U[ACT_FLAG1]
Y[ACT_FLAG1],,NA,Y[ACT_FLAG1]
[ACT_FLAG1],,NA,[ACT_FLAG1]
P[ACT_FLAG1],,NA,P[ACT_FLAG1]
X[ACT_FLAG1],,NA,X[ACT_FLAG1]
U[ACT_FLAG1];   [PRC_QL_CD],,NA,U[ACT_FLAG1];   [PRC_QL_CD]
Nominal Price[USER],,NA,Nominal Price[USER]
   [PRC_QL_CD],,NA,   [PRC_QL_CD]
RCK[PRC_QL_CD],,NA,RCK[PRC_QL_CD]
RCK[PRC_QL_CD];Nominal Price[USER],,NA,RCK[PRC_QL_CD];Nominal Price[USER]
SC [PRC_QL_CD],,NA,SC [PRC_QL_CD]
D[ACT_FLAG1],,NA,D[ACT_FLAG1]
1[ACT_FLAG1];   [PRC_QL_CD],,NA,1[ACT_FLAG1];   [PRC_QL_CD]
[ACT_FLAG1];   [PRC_QL_CD],,NA,[ACT_FLAG1];   [PRC_QL_CD]
M[ACT_FLAG1],,NA,M[ACT_FLAG1]
4[ACT_FLAG1];   [PRC_QL_CD],,NA,4[ACT_FLAG1];   [PRC_QL_CD]
[ACT_FLAG1];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG]
U[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG]
[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];   [PRC_QL_CD];Y  [ELIGBL_TRD];OB   [TR_TRD_FLG]
U[ACT_FLAG1];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];Y  [ELIGBL_TRD];AU   [TR_TRD_FLG]
Y[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,Y[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG]
D[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG],,NA,D[ACT_FLAG1];N  [ELIGBL_TRD];OB   [TR_TRD_FLG]
X[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG],,NA,X[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG]
P[ACT_FLAG1];N  [ELIGBL_TRD];DX   [TR_TRD_FLG],,NA,P[ACT_FLAG1];N  [ELIGBL_TRD];DX   [TR_TRD_FLG]
M[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG],,NA,M[ACT_FLAG1];N  [ELIGBL_TRD];RX   [TR_TRD_FLG]
SC [PRC_QL_CD];Nominal Price[USER],,NA,SC [PRC_QL_CD];Nominal Price[USER]
   [PRC_QL_CD];[ACT_FLAG1],,NA,   [PRC_QL_CD];[ACT_FLAG1]
[ACT_FLAG1];   [PRC_QL_CD];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];   [PRC_QL_CD];OB   [TR_TRD_FLG]
Y[ACT_FLAG1];OB   [TR_TRD_FLG],,NA,Y[ACT_FLAG1];OB   [TR_TRD_FLG]
D[ACT_FLAG1];OB   [TR_TRD_FLG],,NA,D[ACT_FLAG1];OB   [TR_TRD_FLG]
U[ACT_FLAG1];   [PRC_QL_CD];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];   [PRC_QL_CD];AU   [TR_TRD_FLG]
P[ACT_FLAG1];DX   [TR_TRD_FLG],,NA,P[ACT_FLAG1];DX   [TR_TRD_FLG]
   [PRC_QL_CD];U[ACT_FLAG1],,NA,   [PRC_QL_CD];U[ACT_FLAG1]
U[ACT_FLAG1];AU   [TR_TRD_FLG],,NA,U[ACT_FLAG1];AU   [TR_TRD_FLG]
B [IMB_SIDE],,NA,B [IMB_SIDE]
S [IMB_SIDE],,NA,S [IMB_SIDE]
N [IMB_SIDE],,NA,N [IMB_SIDE]
X[ACT_FLAG1];RX   [TR_TRD_FLG],,NA,X[ACT_FLAG1];RX   [TR_TRD_FLG]
  [IMB_SIDE],,NA,  [IMB_SIDE]
[ACT_FLAG1];OB   [TR_TRD_FLG],,NA,[ACT_FLAG1];OB   [TR_TRD_FLG]
